Species,Island,Ecomorph,Series.Clade
Anolis allogus,Cuba,Trunk-Ground,sagrei
Anolis birama,Cuba,Trunk-Ground,sagrei
Anolis bremeri,Cuba,Trunk-Ground,sagrei
Anolis confusus,Cuba,Trunk-Ground,sagrei
Anolis delafuentei,Cuba,Trunk-Ground,sagrei
Anolis guafe,Cuba,Trunk-Ground,sagrei
Anolis homolechis,Cuba,Trunk-Ground,sagrei
Anolis imias,Cuba,Trunk-Ground,sagrei
Anolis jubar,Cuba,Trunk-Ground,sagrei
Anolis mestrei,Cuba,Trunk-Ground,sagrei
Anolis quadriocellifer,Cuba,Trunk-Ground,sagrei
Anolis rubribarbus,Cuba,Trunk-Ground,sagrei
Anolis alayoni ,Cuba,Twig,angusticeps
Anolis garridoi,Cuba,Twig,angusticeps
Anolis guazuma,Cuba,Twig,angusticeps
Anolis paternus,Cuba,Twig,angusticeps
Anolis argenteolus,Cuba,,lucius
Anolis argillaceus,Cuba,,angusticeps
Anolis bartschi,Cuba,,bartschi
Anolis centralis,Cuba,,angusticeps
Anolis Chamaeleolis agueroi ,Cuba,,Chamaeleolis
Anolis Chamaeleolis barbatus,Cuba,,Chamaeleolis
Anolis Chamaeleolis chamaeleonides,Cuba,,Chamaeleolis
Anolis Chamaeleolis guamuhaya,Cuba,,Chamaeleolis
Anolis Chamaeleolis porcus,Cuba,,Chamaeleolis
Anolis litoralis,Cuba,,angusticeps
Anolis lucius,Cuba,,lucius
Anolis pumilus,Cuba,,angusticeps
Anolis ruibali,Cuba,,angusticeps
Anolis terueli,Cuba,,angusticeps
Anolis vermiculatus,Cuba,,bartschi
Anolis angusticeps,Cuba.Bahamas,Twig,angusticeps
Anolis sagrei,Cuba.Bahamas.Other islands ,Trunk-Ground,sagrei
Anolis desechensis,Desecheo,Trunk-Ground,cristatellus
Anolis conspersus,Grand Cayman,Trunk-Crown,grahami
Anolis baleatus,Hispaniola,Crown-Giant,ricordii
Anolis barahonae,Hispaniola,Crown-Giant,ricordii
Anolis ricordii,Hispaniola,Crown-Giant,ricordii
Anolis alumina,Hispaniola,Grass-Bush,semilineatus
Anolis bahorucoensis,Hispaniola,Grass-Bush,hendersoni
Anolis dolichocephalus,Hispaniola,Grass-Bush,hendersoni
Anolis hendersoni,Hispaniola,Grass-Bush,hendersoni
Anolis koopmani,Hispaniola,Grass-Bush,monticola
Anolis olssoni,Hispaniola,Grass-Bush,semilineatus
Anolis semilineatus,Hispaniola,Grass-Bush,semilineatus
Anolis altavelensis,Hispaniola,Trunk,distichus
Anolis brevirostris,Hispaniola,Trunk,distichus
Anolis caudalis,Hispaniola,Trunk,distichus
Anolis marron,Hispaniola,Trunk,distichus
Anolis websteri,Hispaniola,Trunk,distichus
Anolis aliniger ,Hispaniola,Trunk-Crown,chlorocyanus
Anolis chlorocyanus,Hispaniola,Trunk-Crown,chlorocyanus
Anolis coelestinus,Hispaniola,Trunk-Crown,chlorocyanus
Anolis singularis,Hispaniola,Trunk-Crown,chlorocyanus
Anolis armouri,Hispaniola,Trunk-Ground,cybotes
Anolis cybotes,Hispaniola,Trunk-Ground,cybotes
Anolis haetianus,Hispaniola,Trunk-Ground,cybotes
Anolis longitibialis,Hispaniola,Trunk-Ground,cybotes
Anolis marcanoi,Hispaniola,Trunk-Ground,cybotes
Anolis shrevei,Hispaniola,Trunk-Ground,cybotes
Anolis strahmi,Hispaniola,Trunk-Ground,cybotes
Anolis whitemani,Hispaniola,Trunk-Ground,cybotes
Anolis breslini,Hispaniola,Trunk-Ground ,cybotes
Anolis darlingtoni,Hispaniola,Twig,darlingtoni
Anolis insolitus,Hispaniola,Twig,insolitus
Anolis placidus,Hispaniola,Twig,angusticeps
Anolis sheplani,Hispaniola,Twig,angusticeps
Anolis Chamaelinorops barbouri,Hispaniola,,Chamaelinorops
Anolis christophei,Hispaniola,,christophei
Anolis etheridgei,Hispaniola,,insolitus
Anolis eugenegrahami,Hispaniola,,eugenegrahami
Anolis fowleri,Hispaniola,,insolitus
Anolis monticola,Hispaniola,,monticola
Anolis rimarum,Hispaniola,,monticola
Anolis rupinae,Hispaniola,,monticola
Anolis distichus,Hispaniola.Bahamas,Trunk,distichus
Anolis scriptus,Inagua,Trunk-Ground,cristatellus
Anolis garmani,Jamaica,Crown-Giant,grahami
Anolis grahami,Jamaica,Trunk-Crown,grahami
Anolis opalinus,Jamaica,Trunk-Crown,grahami
Anolis lineatopus,Jamaica,Trunk-Ground,grahami
Anolis valencienni,Jamaica,Twig,grahami
Anolis reconditus,Jamaica,,grahami
Anolis maynardi,Little Cayman,Trunk-Crown ,carolinensis
Anolis monensis,Mona,Trunk-Ground,cristatellus
Anolis longiceps,Navassa,Trunk-Crown,carolinensis
Anolis bimaculatus,Northern Lesser Antilles,,bimaculatus
Anolis ferreus,Northern Lesser Antilles,,bimaculatus
Anolis gingivinus,Northern Lesser Antilles,,bimaculatus
Anolis leachii,Northern Lesser Antilles,,bimaculatus
Anolis lividus,Northern Lesser Antilles,,bimaculatus
Anolis marmoratus,Northern Lesser Antilles,,bimaculatus
Anolis nubilis,Northern Lesser Antilles,,bimaculatus
Anolis oculatus,Northern Lesser Antilles,,bimaculatus
Anolis pogus,Northern Lesser Antilles,,bimaculatus
Anolis sabanus,Northern Lesser Antilles,,bimaculatus
Anolis schwartzi,Northern Lesser Antilles,,bimaculatus
Anolis terraealtae ,Northern Lesser Antilles,,bimaculatus
Anolis wattsi,Northern Lesser Antilles,,bimaculatus
Anolis pinchoti,Providencia,,Norops
Anolis cuvieri,Puerto Rico,Crown-Giant,ricordii
Anolis krugi,Puerto Rico,Grass-Bush,cristatellus
Anolis poncensis,Puerto Rico,Grass-Bush,cristatellus
Anolis pulchellus,Puerto Rico,Grass-Bush,cristatellus
Anolis evermanni,Puerto Rico,Trunk-Crown,cristatellus
Anolis stratulus,Puerto Rico,Trunk-Crown,cristatellus
Anolis cooki,Puerto Rico,Trunk-Ground,cristatellus
Anolis cristatellus,Puerto Rico,Trunk-Ground,cristatellus
Anolis gundlachi,Puerto Rico,Trunk-Ground,cristatellus
Anolis occultus,Puerto Rico,Twig,occultus
Anolis roosevelti,Puerto Rico Bank,Crown-Giant ,ricordii
Anolis concolor,San Andres,,Norops
Anolis aeneus ,Southern Lesser Antilles,,roquet
Anolis extremus,Southern Lesser Antilles,,roquet
Anolis griseus,Southern Lesser Antilles,,roquet
Anolis luciae,Southern Lesser Antilles,,roquet
Anolis richardii,Southern Lesser Antilles,,roquet
Anolis trinitatis,Southern Lesser Antilles,,roquet
Anolis roquet,Southern Lesser Antilles ,,roquet
Anolis acutus ,St. Croix,,cristatellus
